"","Manhattan lat","Manhattan lon","Bronx lat","Bronx lon","Queens lat","Queens lon","Brooklyn lat","Brooklyn lon","Staten Island lat","Staten Island long"
"1",40.7260601,-73.9785952,40.8738889,-73.8294444,40.592658,-73.7977928,40.6045491,-74.004306,40.5445496,-74.1765324
"2",40.7122172,-74.0160576,40.8700999,-73.8856912,40.7643574,-73.9234619,40.6261638,-74.0329499,40.5567951,-74.1739057
"3",40.7844653,-73.9550857,40.8523198,-73.88601,40.7585569,-73.7654367,40.6872176,-73.9417735,40.5967312,-74.0704232
"4",40.7465004,-74.0013737,40.8478445,-73.8601178,40.7903548,-73.7977928,40.6112691,-73.9976946,40.6228826,-74.0728632
"5",40.7157509,-73.9970307,40.8176831,-73.8507279,40.5782685,-73.8495233,40.6203822,-73.9068033,40.6096818,-74.1621634
"6",40.7957399,-73.9389213,40.8468202,-73.7874983,40.7320207,-73.7183639,40.6848689,-73.9844722,40.6133706,-74.1216
"7",40.7264773,-73.9815337,40.8286017,-73.9215333,40.7089491,-73.8154394,40.6323009,-73.9888797,40.5281967,-74.2355404
"8",40.7074909,-74.0112764,40.8430539,-73.8213213,40.6158335,-73.8213213,40.5780706,-73.9596565,40.6189726,-74.0784785
"9",40.740083,-73.9903489,40.8942678,-73.9036487,40.692158,-73.7330753,40.6960105,-73.9932872,40.5906641,-74.088452
"10",40.7367783,-73.9844722,40.8579074,-73.8992392,40.786395,-73.8389657,40.66308,-73.9095279,40.5394463,-74.156292
"11",40.7335719,-74.0027418,40.8120246,-73.8801301,40.7449859,-73.8642613,40.6944282,-73.9212858,40.6073188,-74.096095
"12",40.8115504,-73.9464769,40.8833912,-73.9051185,40.768713,-73.7470765,40.6402325,-73.9060579,40.6187679,-74.156292
"13",40.7637581,-73.9918181,40.8739816,-73.9027462,40.7737505,-73.8713099,40.6795331,-73.9991637,40.5820492,-74.1048641
"14",40.8677145,-73.9212019,40.824545,-73.9104143,40.737975,-73.8801301,40.686536,-73.9962255,40.6041583,-74.0837638
"15",40.7423292,-73.9800645,40.8515872,-73.9154069,40.5998931,-73.7448437,40.5755438,-73.9707016,40.5543273,-74.156292
"16",40.773828,-73.9844722,40.8522006,-73.8507279,40.7237133,-73.7048532,40.6681032,-73.9447994,40.6146432,-74.0916944
"17",40.715033,-73.9842724,40.8091068,-73.9228881,40.7674987,-73.833079,40.6836118,-73.8801301,40.5373275,-74.1945884
"18",40.7970307,-73.9697758,40.8382522,-73.8566087,40.718106,-73.8448469,40.6960191,-73.984518,40.602095,-74.1285322
"19",40.7540369,-73.9668408,40.8505556,-73.8333333,40.7335179,-73.7801447,40.7046957,-73.9952333,40.6047373,-74.1269322
"20",40.7637581,-73.9918181,40.8612162,-73.8448469,40.7471504,-73.7118223,40.6214932,-74.009584,40.6367701,-74.1587547
"21",40.8089564,-73.9624327,40.8553279,-73.8639594,40.698994,-73.8804427,40.6568312,-73.8830701,40.57149,-74.0931627
"22",40.7478792,-73.9756567,40.8028642,-73.9109977,40.7212372,-73.7977928,40.6409217,-73.9624327,40.6404369,-74.090226
"23",40.720526,-73.996538,40.8940853,-73.9109977,40.7112203,-73.762495,40.6268432,-73.9330429,40.5657068,-74.1049093
"24",40.7605031,-73.9509934,40.8251411,-73.8683697,40.7336221,-73.7551405,40.685135,-73.973562,40.5890349,-74.156292
"25",40.723301,-74.0029883,40.818399,-73.8213213,40.6571222,-73.8429989,40.5870033,-73.9227554,40.563994,-74.1159754
"26",40.7162692,-74.0086323,40.8447416,-73.8933596,40.7556818,-73.8830701,40.6733364,-73.9903489,40.5236763,-74.2198218
"27",40.7735649,-73.9565551,40.8595861,-73.9109977,40.702677,-73.7889689,40.5910166,-73.977126,40.6354914,-74.1254641
"28",40.7870106,-73.9753676,40.89655,-73.8507279,40.7178539,-73.7742616,40.7245448,-73.9418603,40.5289944,-74.197644
"29",40.8417082,-73.9393554,40.8776859,-73.8566087,40.7128029,-73.7992634,40.650969,-73.976976,40.5709205,-74.1456038
"30",40.735781,-74.0035709,40.8976347,-73.8668996,40.705695,-73.8272029,40.578158,-73.9389213,40.6131912,-74.0726044
"31",NA,NA,NA,NA,40.6740861,-73.7448437,40.6119911,-73.9330429,40.5509808,-74.2032581
"32",NA,NA,NA,NA,40.7612957,-73.7330753,40.6190629,-73.9653715,40.6098859,-74.0667302
"33",NA,NA,NA,NA,40.744679,-73.9485424,40.6100892,-73.9109977,40.6276662,-74.093256
"34",NA,NA,NA,NA,40.7294018,-73.9065883,40.6681038,-73.9805817,40.5903824,-74.0668076
"35",NA,NA,NA,NA,40.717372,-73.87425,40.6774196,-73.9668408,40.6427017,-74.0799469
"36",NA,NA,NA,NA,40.7408584,-73.758241,40.6564023,-73.9738419,40.6288778,-74.0784785
"37",NA,NA,NA,NA,40.6794072,-73.8507279,40.6772802,-74.0094471,40.6127882,-74.1049093
"38",NA,NA,NA,NA,40.7156628,-73.7419017,40.5768098,-74.0079781,40.6014342,-74.103441
"39",NA,NA,NA,NA,40.7255722,-73.8624893,40.5975847,-73.9536163,40.6325956,-74.0872892
"40",NA,NA,NA,NA,40.6958108,-73.8272029,40.645532,-74.0123851,40.5083408,-74.2355404
"41",NA,NA,NA,NA,40.7043986,-73.9018292,40.7081156,-73.9570696,40.5890113,-74.1915177
"42",NA,NA,NA,NA,40.5797863,-73.8372237,40.6539346,-73.9756567,40.6270298,-74.1093141
"43",NA,NA,NA,NA,40.6584068,-73.7389596,NA,NA,40.621215,-74.1318094
"44",NA,NA,NA,NA,40.6808594,-73.7919103,NA,NA,40.614273,-74.146407
"45",NA,NA,NA,NA,40.6794072,-73.8507279,NA,NA,40.5434385,-74.1976441
"46",NA,NA,NA,NA,40.6626441,-73.7683784,NA,NA,NA,NA
"47",NA,NA,NA,NA,40.6930086,-73.7729086,NA,NA,NA,NA
"48",NA,NA,NA,NA,40.7432759,-73.9196324,NA,NA,NA,NA
"49",NA,NA,NA,NA,40.7920449,-73.8095574,NA,NA,NA,NA
"50",NA,NA,NA,NA,40.6901366,-73.8566087,NA,NA,NA,NA
"51",NA,NA,NA,NA,40.7512123,-73.9036487,NA,NA,NA,NA
